"Size","Custom Avg (s)","Custom Min (s)","Custom Max (s)","Custom Sum (s)","Custom N","Library Avg (s)","Library Min (s)","Library Max (s)","Library Sum (s)","Library N","Custom slower than Lib (%)"
"8","0,000003508","0,000003471","0,000003578","0,000017538","5","0,000000458","0,000000454","0,000000462","0,000002291","5","665,54%"
"16","0,000013467","0,000013409","0,000013542","0,000067334","5","0,000001424","0,000001414","0,000001435","0,000007118","5","845,95%"
"32","0,000059222","0,000058915","0,000059764","0,000296109","5","0,000005496","0,000005423","0,000005578","0,000027480","5","977,55%"
"64","0,000286733","0,000285473","0,000288270","0,001433664","5","0,000025615","0,000025548","0,000025730","0,000128075","5","1019,39%"
"128","0,001769988","0,001762440","0,001778715","0,008849939","5","0,000110005","0,000109266","0,000110733","0,000550023","5","1509,01%"
"256","0,091044902","0,089618624","0,092960902","0,455224510","5","0,000249915","0,000232891","0,000261487","0,001249575","5","36330,33%"
"512","0,200451224","0,193272253","0,209818726","1,002256121","5","0,000422069","0,000367180","0,000474420","0,002110344","5","47392,54%"
"1024","1,803749328","1,498405440","2,093225935","9,018746638","5","0,001935750","0,001703710","0,002048178","0,009678748","5","93080,92%"
"2048","9,118276414","8,971505598","9,308409354","45,591382071","5","0,006207437","0,006023502","0,006339726","0,031037184","5","146792,78%"
"4096","42,492787470","41,530630188","43,103992811","212,463937349","5","0,025427259","0,025299157","0,025722573","0,127136295","5","167015,09%"
"8192","272,788717590","264,670742120","289,195148091","1363,943587950","5","0,120196012","0,119902403","0,121105996","0,600980060","5","226853,22%"
